"ID","INVENTARIO_ID","FECHA_VENC","LOTE","CANTIDAD",,,,,,
287,100039,2021-06-05,20210605,0,,,,,,
288,1000310,2021-06-06,20210606,0,,,,,,
289,1000311,2021-06-07,20210607,0,,,,,,
290,1000312,2021-06-08,20210608,2,,,,,,
291,1000313,2021-06-09,20210609,155,,,,,,
292,1000314,2021-06-10,20210610,20,,,,,,
293,1000315,2021-06-11,20210611,56,,,,,,
294,1000316,2021-06-12,20210612,170,,,,,,
295,1000317,2021-06-13,20210613,0,,,,,,
296,1000318,2021-06-14,20210614,43,,,,,,
297,1000319,2021-06-15,20210615,71,,,,,,
298,1000320,2021-06-16,20210616,142,,,,,,
299,1000321,2021-06-17,20210617,97,,,,,,
300,1000322,2021-06-18,20210618,0,,,,,,
301,1000323,2021-06-19,20210619,0,,,,,,
302,1000324,2021-06-20,20210620,0,,,,,,
303,1000325,2021-06-21,20210621,36,,,,,,
304,1000326,2021-06-22,20210622,0,,,,,,
305,1000327,2021-06-23,20210623,0,,,,,,
306,1000328,2021-06-24,20210624,0,,,,,,
307,1000329,2021-06-25,20210625,0,,,,,,
308,1000330,2021-06-26,20210626,0,,,,,,
309,1000331,2021-06-27,20210627,0,,,,,,
310,1000332,2021-06-28,20210628,49,,,,,,
311,1000333,2021-06-29,20210629,90,,,,,,
312,1000334,2021-06-30,20210630,0,,,,,,
313,1000335,2021-07-01,20210701,4,,,,,,
314,1000336,2021-07-02,20210702,0,,,,,,
315,1000337,2021-07-03,20210703,0,,,,,,
316,1000338,2021-07-04,20210704,0,,,,,,
317,1000339,2021-07-05,20210705,30,,,,,,
318,1000340,2021-07-06,20210706,91,,,,,,
319,1000341,2021-07-07,20210707,0,,,,,,
320,1000342,2021-07-08,20210708,12,,,,,,
321,1000343,2021-07-09,20210709,51,,,,,,
322,1000344,2021-07-10,20210710,3,,,,,,
323,1000345,2021-07-11,20210711,0,,,,,,
324,1000346,2021-07-12,20210712,277,,,,,,
325,1000347,2021-07-13,20210713,103,,,,,,
326,1000348,2021-07-14,20210714,43,,,,,,
327,1000349,2021-07-15,20210715,274,,,,,,
328,1000350,2021-07-16,20210716,0,,,,,,
329,1000351,2021-07-17,20210717,37,,,,,,
330,1000352,2021-07-18,20210718,132,,,,,,
331,1000353,2021-07-19,20210719,255,,,,,,
332,1000354,2021-07-20,20210720,0,,,,,,
333,1000355,2021-07-21,20210721,0,,,,,,
334,1000356,2021-07-22,20210722,49,,,,,,
335,1000357,2021-07-23,20210723,79,,,,,,
336,1000358,2021-07-24,20210724,49,,,,,,
337,1000359,2021-07-25,20210725,0,,,,,,
338,1000360,2021-07-26,20210726,81,,,,,,
339,1000361,2021-07-27,20210727,84,,,,,,
340,1000362,2021-07-28,20210728,0,,,,,,
341,1000363,2021-07-29,20210729,0,,,,,,
342,1000364,2021-07-30,20210730,70,,,,,,
343,1000365,2021-07-31,20210731,149,,,,,,
344,1000366,2021-08-01,20210801,122,,,,,,
345,1000367,2021-08-02,20210802,46,,,,,,
346,1000368,2021-08-03,20210803,160,,,,,,
347,1000369,2021-08-04,20210804,15,,,,,,
348,1000370,2021-08-05,20210805,78,,,,,,
349,1000371,2021-08-06,20210806,55,,,,,,
350,1000372,2021-08-07,20210807,0,,,,,,
351,1000373,2021-08-08,20210808,67,,,,,,
352,1000374,2021-08-09,20210809,190,,,,,,
353,1000375,2021-08-10,20210810,53,,,,,,
354,1000376,2021-08-11,20210811,531,,,,,,
355,1000377,2021-08-12,20210812,15,,,,,,
356,1000378,2021-08-13,20210813,53,,,,,,
357,1000379,2021-08-14,20210814,1,,,,,,
358,1000380,2021-08-15,20210815,202,,,,,,
359,1000381,2021-08-16,20210816,0,,,,,,
360,1000382,2021-08-17,20210817,192,,,,,,
361,1000383,2021-08-18,20210818,161,,,,,,
362,1000384,2021-08-19,20210819,0,,,,,,
363,1000385,2021-08-20,20210820,60,,,,,,
364,1000386,2021-08-21,20210821,37,,,,,,
365,1000387,2021-08-22,20210822,70,,,,,,
366,1000388,2021-08-23,20210823,60,,,,,,
367,1000389,2021-08-24,20210824,0,,,,,,
368,1000390,2021-08-25,20210825,1,,,,,,
369,1000391,2021-08-26,20210826,0,,,,,,
370,1000392,2021-08-27,20210827,0,,,,,,
371,1000393,2021-08-28,20210828,23,,,,,,
372,1000394,2021-08-29,20210829,0,,,,,,
373,1000395,2021-08-30,20210830,0,,,,,,
374,1000396,2021-08-31,20210831,0,,,,,,
375,1000397,2021-09-01,20210901,0,,,,,,
376,1000398,2021-09-02,20210902,178,,,,,,
377,1000399,2021-09-03,20210903,30,,,,,,
378,10003100,2021-09-04,20210904,70,,,,,,
379,10003101,2021-09-05,20210905,775,,,,,,
380,10003102,2021-09-06,20210906,159,,,,,,
381,10003103,2021-09-07,20210907,180,,,,,,
382,10003104,2021-09-08,20210908,0,,,,,,
383,10003105,2021-09-09,20210909,0,,,,,,
384,10003106,2021-09-10,20210910,180,,,,,,
385,100041,2021-09-11,20210911,100,,,,,,
386,100042,2021-09-12,20210912,9,,,,,,
387,100043,2021-09-13,20210913,100,,,,,,
388,100044,2021-09-14,20210914,0,,,,,,
389,100045,2021-09-15,20210915,100,,,,,,
390,100046,2021-09-16,20210916,90,,,,,,
391,100047,2021-09-17,20210917,100,,,,,,
392,100048,2021-09-18,20210918,100,,,,,,
393,100049,2021-09-19,20210919,100,,,,,,
394,1000410,2021-09-20,20210920,101,,,,,,
395,1000411,2021-09-21,20210921,0,,,,,,
396,1000412,2021-09-22,20210922,0,,,,,,
397,1000413,2021-09-23,20210923,0,,,,,,
398,1000414,2021-09-24,20210924,0,,,,,,
399,1000415,2021-09-25,20210925,100,,,,,,
400,1000416,2021-09-26,20210926,200,,,,,,
401,1000417,2021-09-27,20210927,0,,,,,,
402,1000418,2021-09-28,20210928,212,,,,,,
403,1000419,2021-09-29,20210929,174,,,,,,
404,1000420,2021-09-30,20210930,720,,,,,,
405,1000421,2021-10-01,20211001,240,,,,,,
406,1000422,2021-10-02,20211002,100,,,,,,
407,1000423,2021-10-03,20211003,151,,,,,,
408,1000424,2021-10-04,20211004,100,,,,,,
409,1000425,2021-10-05,20211005,200,,,,,,
410,1000426,2021-10-06,20211006,146,,,,,,
411,1000427,2021-10-07,20211007,100,,,,,,
412,1000428,2021-10-08,20211008,100,,,,,,
413,1000429,2021-10-09,20211009,100,,,,,,
414,1000430,2021-10-10,20211010,100,,,,,,
415,1000431,2021-10-11,20211011,100,,,,,,
416,1000432,2021-10-12,20211012,100,,,,,,
417,1000433,2021-10-13,20211013,100,,,,,,
418,1000434,2021-10-14,20211014,200,,,,,,
419,1000435,2021-10-15,20211015,200,,,,,,
